	"rsem_out/AK-1_S27.R1.cutadapt.genes.results"	"rsem_out/AK-23_S1.R1.cutadapt.genes.results"	"rsem_out/AK-24_S2.R1.cutadapt.genes.results"	"rsem_out/AK-25_S3.R1.cutadapt.genes.results"	"rsem_out/AK-26_S4.R1.cutadapt.genes.results"	"rsem_out/AK-27_S5.R1.cutadapt.genes.results"	"rsem_out/AK-28_S6.R1.cutadapt.genes.results"	"rsem_out/AK-29_S7.R1.cutadapt.genes.results"	"rsem_out/AK-2_S28.R1.cutadapt.genes.results"	"rsem_out/AK-30_S8.R1.cutadapt.genes.results"	"rsem_out/AK-31_S9.R1.cutadapt.genes.results"	"rsem_out/AK-32_S10.R1.cutadapt.genes.results"	"rsem_out/AK-33_S11.R1.cutadapt.genes.results"	"rsem_out/AK-34_S12.R1.cutadapt.genes.results"	"rsem_out/AK-35_S13.R1.cutadapt.genes.results"	"rsem_out/AK-36_S14.R1.cutadapt.genes.results"	"rsem_out/AK-37_S15.R1.cutadapt.genes.results"	"rsem_out/AK-38_S16.R1.cutadapt.genes.results"	"rsem_out/AK-39_S17.R1.cutadapt.genes.results"	"rsem_out/AK-40_S18.R1.cutadapt.genes.results"	"rsem_out/AK-41_S19.R1.cutadapt.genes.results"	"rsem_out/AK-42_S20.R1.cutadapt.genes.results"	"rsem_out/AK-43_S21.R1.cutadapt.genes.results"	"rsem_out/AK-44_S22.R1.cutadapt.genes.results"	"rsem_out/AK-45_S23.R1.cutadapt.genes.results"	"rsem_out/AK-46_S24.R1.cutadapt.genes.results"	"rsem_out/AK-47_S25.R1.cutadapt.genes.results"	"rsem_out/AK-48_S26.R1.cutadapt.genes.results"	"rsem_out/AK-4_S29.R1.cutadapt.genes.results"	"rsem_out/AK-5_S30.R1.cutadapt.genes.results"	"rsem_out/SHC-17_S13.R1.cutadapt.genes.results"	"rsem_out/SHC-18_S14.R1.cutadapt.genes.results"	"rsem_out/Undetermined_S0.R1.cutadapt.genes.results"
"GBI_06139"	151.23	0.00	41.97	88.86	102.69	34.86	119.65	48.25	75.61	11.79	48.92	101.39	80.80	26.50	97.15	29.03	84.75	105.32	124.54	113.61	40.61	75.62	94.58	100.48	91.73	112.71	36.48	77.12	104.18	0.00	13.67	137.04	79.87
"GBI_06140"	1134.83	1272.58	2574.16	3498.98	3520.19	1382.06	1021.14	2041.93	2643.45	1435.75	2614.34	2530.30	2537.14	660.94	856.74	3702.28	1892.11	3816.97	3226.44	3542.42	1572.58	3025.69	1855.19	3932.07	2597.61	2476.94	442.68	3362.97	3358.78	0.00	875.55	3061.96	2730.61
"GBI_06141"	175.03	0.00	0.00	108.34	141.19	11.84	47.13	187.29	177.11	30.97	162.61	120.75	177.99	23.56	23.90	343.77	10.39	79.18	122.38	210.07	23.02	115.62	7.90	184.96	117.38	196.02	9.59	60.89	105.51	0.00	26.32	64.46	129.51
"GBI_06142"	64.24	0.00	95.94	47.99	46.39	40.17	319.94	139.29	75.59	134.71	25.79	48.49	38.15	91.58	369.12	19.75	64.24	48.47	49.81	35.42	70.75	39.33	59.02	52.16	47.31	40.98	76.15	46.53	74.74	0.00	139.63	43.75	69.16
"GBI_06144"	12.48	0.00	75.64	12.55	8.42	2.99	7.54	11.02	9.19	398.20	7.36	14.82	7.18	4.75	6.90	15.62	8.52	10.30	16.45	7.86	4.65	7.56	7.84	10.27	17.30	6.53	0.97	9.28	10.83	0.00	284.34	8.57	21.80
"GBI_06145"	11.05	0.00	75.03	67.21	32.50	16.60	10.62	26.35	5.91	29.59	21.04	62.67	48.05	4.72	17.56	10.68	5.27	34.53	62.84	32.16	9.88	13.16	5.59	29.69	61.67	33.06	4.80	4.48	24.12	0.00	29.73	15.47	27.30
"GBI_06147"	52.24	0.00	66.17	18.38	9.63	7.84	16.66	20.02	21.51	232.36	3.60	5.42	3.85	8.32	22.92	5.65	29.70	9.86	4.84	8.10	10.46	11.49	28.55	14.24	10.02	4.64	12.70	15.15	16.31	0.00	193.77	9.66	19.67
"GBI_06148"	52.48	0.00	56.67	73.89	46.69	165.99	99.57	41.32	71.08	88.33	31.23	83.23	60.44	134.12	101.29	63.87	47.43	62.21	80.47	50.78	155.59	104.78	56.94	48.93	85.26	50.24	63.79	174.05	52.66	0.00	68.54	48.46	62.29
"GBI_06149"	1.77	0.00	42.40	13.60	11.63	57.82	54.95	23.71	32.21	16.47	3.30	18.99	7.80	124.82	41.30	0.97	7.93	20.06	17.96	10.85	53.33	12.14	2.49	10.83	18.95	2.88	59.49	3.51	18.00	0.00	20.28	8.67	15.45
"GBI_06150"	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
"GBI_06151"	3.11	0.00	0.00	0.81	0.96	39.43	4.23	3.72	7.65	0.81	39.08	1.22	0.82	16.80	2.89	0.54	2.03	56.67	1.06	0.35	8.59	18.50	2.06	54.46	1.27	0.60	11.20	0.00	0.33	0.00	0.61	67.26	7.04
"GBI_06152"	35.41	0.00	0.00	41.83	62.40	53.61	87.05	36.28	107.80	33.81	80.25	48.30	40.68	63.41	119.00	18.14	33.86	103.61	33.68	52.42	81.88	112.99	41.40	56.78	40.49	55.28	79.51	102.63	71.25	0.00	41.55	86.70	60.81
"GBI_06153"	136.76	201.34	133.98	58.47	47.51	244.88	725.19	157.93	437.70	149.84	111.97	65.45	42.85	264.51	772.86	87.39	213.37	263.45	57.57	56.96	352.02	540.19	227.31	204.54	63.64	46.23	122.82	878.55	61.52	0.00	161.95	291.58	179.61
"GBI_06154"	0.00	0.00	79.36	49.78	57.02	17.33	0.00	0.00	0.00	128.38	66.26	81.13	89.10	0.00	0.00	32.10	0.00	11.25	54.46	86.75	0.00	25.73	0.00	80.14	71.15	76.90	0.00	22.72	79.51	0.00	82.43	34.79	21.49
