	"rsem_out/AK-1_S27.R1.cutadapt.genes.results"	"rsem_out/AK-23_S1.R1.cutadapt.genes.results"	"rsem_out/AK-24_S2.R1.cutadapt.genes.results"	"rsem_out/AK-25_S3.R1.cutadapt.genes.results"	"rsem_out/AK-26_S4.R1.cutadapt.genes.results"	"rsem_out/AK-27_S5.R1.cutadapt.genes.results"	"rsem_out/AK-28_S6.R1.cutadapt.genes.results"	"rsem_out/AK-29_S7.R1.cutadapt.genes.results"	"rsem_out/AK-2_S28.R1.cutadapt.genes.results"	"rsem_out/AK-30_S8.R1.cutadapt.genes.results"	"rsem_out/AK-31_S9.R1.cutadapt.genes.results"	"rsem_out/AK-32_S10.R1.cutadapt.genes.results"	"rsem_out/AK-33_S11.R1.cutadapt.genes.results"	"rsem_out/AK-34_S12.R1.cutadapt.genes.results"	"rsem_out/AK-35_S13.R1.cutadapt.genes.results"	"rsem_out/AK-36_S14.R1.cutadapt.genes.results"	"rsem_out/AK-37_S15.R1.cutadapt.genes.results"	"rsem_out/AK-38_S16.R1.cutadapt.genes.results"	"rsem_out/AK-39_S17.R1.cutadapt.genes.results"	"rsem_out/AK-40_S18.R1.cutadapt.genes.results"	"rsem_out/AK-41_S19.R1.cutadapt.genes.results"	"rsem_out/AK-42_S20.R1.cutadapt.genes.results"	"rsem_out/AK-43_S21.R1.cutadapt.genes.results"	"rsem_out/AK-44_S22.R1.cutadapt.genes.results"	"rsem_out/AK-45_S23.R1.cutadapt.genes.results"	"rsem_out/AK-46_S24.R1.cutadapt.genes.results"	"rsem_out/AK-47_S25.R1.cutadapt.genes.results"	"rsem_out/AK-48_S26.R1.cutadapt.genes.results"	"rsem_out/AK-4_S29.R1.cutadapt.genes.results"	"rsem_out/AK-5_S30.R1.cutadapt.genes.results"	"rsem_out/SHC-17_S13.R1.cutadapt.genes.results"	"rsem_out/SHC-18_S14.R1.cutadapt.genes.results"	"rsem_out/Undetermined_S0.R1.cutadapt.genes.results"
"GBI_00001"	0.00	0.00	0.00	0.00	0.00	43.80	0.00	0.00	0.00	0.00	25.67	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.00	0.00	16.09	1.66
"GBI_00002"	8.40	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.61	5.21	1.07	0.00	0.20	0.00	0.00	0.00	12.08	0.00	0.19	0.35	0.00	2.12	19.28	0.00	0.88	0.00	1.19	0.62	0.44	0.00	2.82	0.20	3.69
"GBI_00003"	0.00	0.00	0.00	0.58	1.69	0.00	0.00	1.34	0.00	13.37	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.44	0.09	0.43
"GBI_00004"	282.05	132.53	220.32	452.10	283.33	455.20	149.68	26.54	86.43	462.80	142.81	416.68	377.48	436.09	114.67	5.33	472.58	105.00	438.81	297.75	298.44	136.92	446.39	70.09	435.05	278.00	201.49	160.66	401.19	0.00	336.54	108.30	283.52
"GBI_00005"	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	2.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00006"	0.84	0.00	0.00	1.97	2.17	1.70	0.56	0.40	3.18	37.77	0.35	3.20	0.69	0.00	0.00	0.46	0.57	0.00	1.97	0.00	0.00	0.38	0.30	1.04	2.37	0.77	0.00	1.07	2.52	0.00	23.35	0.81	2.52
"GBI_00007"	134.74	0.00	149.81	21.19	40.59	68.66	143.76	113.59	296.60	32.45	207.18	15.15	22.60	62.80	122.47	36.69	76.99	219.73	18.57	82.24	89.41	352.44	98.27	102.54	30.48	64.88	59.41	258.46	26.02	0.00	23.69	112.60	86.08
"GBI_00008"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00009"	173.06	204.78	2096.13	4906.34	6331.33	435.81	460.23	212.76	282.54	505.09	2215.68	4900.33	4898.13	210.83	462.74	209.00	258.34	583.56	4749.82	6188.72	265.67	397.30	252.96	640.69	2904.21	5190.68	36.77	464.33	3340.57	4916.03	172.23	492.82	2301.00
"GBI_00010"	0.00	0.00	0.00	0.76	3.16	0.00	0.00	0.00	0.00	0.00	0.00	1.35	3.62	0.00	0.00	0.00	0.00	0.00	0.85	0.58	0.00	0.00	0.00	0.61	0.66	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.56
"GBI_00011"	32.97	0.00	368.36	1038.44	911.41	195.33	58.58	21.41	194.43	49.88	119.18	794.07	926.37	135.04	23.25	1.79	21.99	264.57	873.58	533.26	73.09	126.98	19.59	676.92	828.18	602.54	77.78	18.42	715.98	0.00	33.69	107.13	384.55
"GBI_00012"	0.00	0.00	0.00	536.02	544.98	0.00	1.47	0.00	0.00	0.00	1.86	408.36	995.32	2.94	0.00	0.40	0.00	6.20	707.49	312.28	0.00	2.46	0.00	13.06	401.01	347.99	0.00	0.00	195.75	0.00	0.00	2.85	204.49
"GBI_00013"	7.12	0.00	0.00	16.13	11.19	31.35	6.22	5.91	11.11	24.53	5.10	20.08	10.69	16.56	10.70	6.87	9.17	10.08	17.79	15.98	18.73	31.57	9.21	10.28	20.53	13.36	19.21	36.66	11.93	0.00	15.90	6.01	10.32
"GBI_00014"	5.75	0.00	0.00	4.71	5.86	0.00	0.00	0.00	0.00	730.58	0.00	1.56	2.09	0.00	0.00	2.78	5.13	0.00	0.00	0.00	0.00	0.00	6.84	0.00	3.07	1.74	0.00	0.00	0.00	0.00	461.48	5.68	17.59
"GBI_00015"	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	105.01	0.00	0.00	0.00	0.00	0.00	0.00	2.51	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	42.44	0.34	3.42
"GBI_00016"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.56	0.00	55.64	0.00	0.00	1.09	0.00	0.00	0.30	0.00	0.00	0.43	0.39	0.00	0.00	0.42	0.98	0.00	0.00	0.00	0.00	0.49	0.00	13.81	0.00	0.92
"GBI_00017"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38	247.72	0.00	0.00	0.00	8.83	0.00	1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	279.65	0.00	15.92
"GBI_00018"	0.00	0.00	0.00	31.07	10.76	1.84	0.73	0.00	0.00	0.11	0.46	28.01	19.91	0.00	0.14	0.00	0.06	0.69	31.18	5.62	0.41	0.33	0.05	0.18	31.85	6.29	0.60	0.00	10.94	0.00	0.07	0.30	7.98
"GBI_00019"	202.73	0.00	430.10	271.67	280.79	299.23	153.39	736.73	339.07	56.49	473.06	333.19	344.89	27.07	52.28	1365.04	35.23	429.32	281.93	522.96	45.34	588.53	58.75	370.64	281.75	434.61	49.56	666.61	192.90	0.00	34.35	324.92	346.33
"GBI_00020"	77.68	87.47	12.80	22.88	19.55	56.40	46.30	23.10	45.17	70.47	29.57	21.80	14.86	66.77	44.64	15.59	107.91	32.59	20.76	15.02	57.94	30.73	95.06	24.16	17.79	15.11	37.32	44.23	21.04	0.00	81.34	33.22	40.18
"GBI_00021"	22.90	0.00	65.18	40.03	50.60	3.17	6.15	18.26	13.43	0.55	25.23	34.79	37.31	0.00	5.78	9.25	8.88	21.56	49.47	32.90	1.72	15.96	11.52	36.01	44.35	36.96	10.01	9.18	69.29	0.00	0.00	16.19	28.85
"GBI_00022"	9.87	0.00	128.84	52.71	51.51	48.78	8.22	19.09	35.02	6.08	47.46	75.30	58.62	24.39	8.91	34.30	7.38	40.85	69.46	63.77	12.08	53.78	10.27	37.15	67.31	78.36	26.52	44.41	29.79	0.00	5.03	23.23	38.63
"GBI_00023"	128.53	299.59	175.23	40.11	62.09	25.96	64.78	54.98	93.20	450.99	40.05	37.35	42.98	30.30	67.90	46.23	316.87	50.62	43.80	56.07	54.21	51.33	193.59	53.04	34.41	44.56	26.90	47.53	62.25	0.00	333.03	58.20	86.52
"GBI_00024"	107.04	0.00	69.35	31.15	22.60	27.94	32.00	60.88	55.32	39.84	22.42	30.30	27.22	13.80	28.03	100.42	49.08	33.96	32.14	33.20	26.78	39.30	62.12	39.68	32.50	23.07	31.04	51.99	48.50	0.00	29.80	25.73	39.72
"GBI_00025"	28.02	0.00	51.22	45.22	35.04	6.68	14.91	24.70	12.35	4.77	27.29	43.21	34.47	3.22	13.81	22.32	12.94	42.38	47.01	39.40	9.45	25.74	11.53	35.80	47.20	26.19	0.98	31.60	19.66	0.00	3.59	21.00	39.03
"GBI_00026"	85.87	0.00	85.47	66.61	24.39	84.21	516.43	315.99	255.67	267.38	40.94	41.71	44.31	181.76	514.15	11.35	27.05	95.63	11.19	30.72	123.70	64.53	74.30	115.69	18.27	8.84	355.77	80.30	89.72	0.00	390.50	115.39	74.21
"GBI_00027"	62.27	0.00	160.97	45.59	36.50	62.31	474.35	225.91	123.30	73.40	38.06	38.61	40.84	268.12	614.73	55.93	260.04	72.50	39.59	43.61	264.59	74.64	276.20	80.04	67.64	44.78	445.32	86.33	58.80	0.00	93.87	58.17	123.61
"GBI_00028"	15.20	61934.48	516.04	299.07	545.66	1982.08	241.48	643.79	1055.31	0.42	21846.17	82.33	228.70	901.14	124.78	44.76	19.14	10111.72	19.81	152.13	854.46	2319.51	21.77	16174.23	297.11	762.63	3347.03	13.13	37.14	0.00	2.20	5640.59	2514.69
"GBI_00029"	104.84	0.00	0.00	11.87	17.71	13.45	15.94	41.34	55.90	58.60	29.27	16.60	11.79	10.19	22.54	136.26	69.60	45.44	21.01	35.86	53.36	49.07	57.51	46.70	20.52	20.33	10.89	98.04	32.25	0.00	27.78	19.69	43.59
"GBI_00030"	0.38	0.00	64.32	36.23	20.11	0.00	0.00	0.00	0.00	3.76	0.00	15.18	6.97	0.00	0.00	0.27	0.00	0.00	18.71	5.66	0.00	0.00	0.00	0.75	21.25	14.54	0.00	0.00	10.37	0.00	1.23	0.00	7.15
"GBI_00031"	13.19	92.81	67.86	53.29	27.12	6.43	26.69	16.43	6.28	12.88	3.83	48.66	39.25	7.25	34.15	4.58	19.59	9.30	61.83	13.53	11.43	7.93	18.98	6.48	55.44	15.09	5.73	8.24	43.18	0.00	11.32	9.11	22.66
"GBI_00032"	1.56	0.00	0.00	39.80	33.69	103.65	3.99	12.19	66.77	1.59	2400.13	16.79	32.82	29.63	3.33	2.20	0.86	1002.97	25.86	236.25	37.22	316.12	2.19	5.27	39.80	5.28	13.10	103.18	2.30	0.00	0.55	1382.52	191.42
"GBI_00033"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00
"GBI_00034"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00035"	6.01	0.00	0.00	44.21	41.01	51.01	1.19	5.50	43.14	0.00	1725.86	14.37	37.35	15.43	0.34	3.23	0.00	599.99	27.62	191.20	10.93	188.97	0.34	6.15	30.73	7.53	2.90	9.39	6.11	0.00	0.36	645.32	129.35
"GBI_00036"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00037"	189.18	0.00	71.76	118.20	156.15	17.30	58.71	229.13	116.47	20.43	152.53	83.29	107.10	13.53	41.03	406.47	34.00	96.26	83.74	104.17	30.46	128.19	37.82	163.18	95.26	107.11	23.08	115.71	116.73	0.00	19.55	115.86	102.54
"GBI_00038"	32.93	0.00	35.60	78.22	69.94	15.61	33.60	75.41	49.96	23.66	45.81	76.68	67.25	6.15	25.80	155.95	24.78	64.98	89.45	75.61	16.87	49.65	21.55	73.86	70.52	62.05	5.46	36.14	53.88	0.00	10.15	47.57	60.21
"GBI_00039"	72.10	0.00	53.06	25.78	22.88	41.50	58.98	28.55	60.79	80.08	29.59	29.58	22.89	32.80	45.47	28.96	89.19	45.13	26.97	31.21	49.82	63.67	103.08	43.54	30.65	29.78	27.14	83.08	45.95	0.00	55.19	60.22	48.93
"GBI_00040"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00041"	0.84	0.00	0.00	28.07	13.51	0.00	0.75	0.00	1.40	0.00	33.26	18.25	36.74	0.00	0.00	0.00	0.19	5.49	49.09	24.51	0.00	5.48	0.00	0.00	34.06	35.50	0.00	0.47	7.67	0.00	0.00	3.10	11.52
"GBI_00042"	11.25	0.00	0.00	95.21	97.82	1.37	0.00	2.48	72.85	1.03	57.22	65.04	103.39	0.00	0.00	0.47	5.75	27.22	69.21	58.94	1.52	73.52	7.68	44.36	54.33	80.15	2.22	60.52	36.26	0.00	1.23	18.93	38.53
"GBI_00043"	41.77	0.00	99.86	19.74	18.99	20.51	20.42	68.63	37.70	8.51	50.88	14.43	11.84	7.32	7.89	229.05	21.04	47.42	14.00	23.53	12.27	43.27	25.22	73.40	25.36	25.49	10.22	51.68	14.76	0.00	5.26	48.51	41.91
"GBI_00044"	27.67	0.00	109.23	142.76	141.59	178.00	210.50	215.76	209.52	445.87	117.42	119.74	115.34	105.57	167.31	241.69	37.78	209.17	94.75	122.67	159.60	303.11	46.91	262.67	118.52	133.47	48.20	361.74	135.54	0.00	124.48	194.16	144.62
"GBI_00047"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.52
"GBI_00048"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12
"GBI_00049"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07
"GBI_00050"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00051"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.25	0.00
"GBI_00052"	0.00	0.00	59.89	0.00	0.00	0.00	0.00	0.00	0.00	186.68	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	177.38	0.26	8.41
"GBI_00053"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00054"	0.00	0.00	0.00	5.18	8.59	0.00	0.00	0.00	0.00	0.00	0.00	15.47	4.60	0.00	0.00	0.00	0.00	0.00	2.17	3.96	0.00	0.00	0.00	6.22	1.69	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00055"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00056"	4.32	0.00	0.00	22.15	12.82	8.87	9.18	2.01	4.57	1.86	0.89	19.48	17.92	5.65	6.14	0.13	2.92	9.84	19.72	4.25	2.76	2.21	3.21	8.89	18.07	6.06	2.87	0.15	14.23	0.00	0.79	1.63	10.68
"GBI_00057"	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00058"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00060"	5.59	0.00	0.00	19.03	11.48	11.25	7.46	0.00	12.85	0.00	5.85	6.28	3.06	7.46	4.32	0.51	0.47	30.74	5.78	5.93	0.00	1.87	1.79	57.19	4.48	10.21	0.00	1.18	6.68	0.00	0.57	28.16	4.49
"GBI_00061"	0.00	0.00	0.00	0.00	2.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00062"	0.00	0.00	0.00	293.74	917.74	0.00	0.00	0.00	0.00	0.00	6.93	1021.01	682.44	0.00	0.00	0.00	0.00	0.00	1596.03	2915.89	0.00	0.00	0.00	0.00	136.44	764.18	0.00	0.00	1084.18	0.00	0.00	0.00	374.35
"GBI_00063"	0.97	0.00	740.33	3065.54	4227.76	13.65	6.47	0.00	0.81	0.00	30.07	1735.27	2665.13	12.93	0.00	0.35	4.25	0.91	2350.26	4353.21	8.67	0.87	4.96	3.35	1482.39	3364.10	15.79	0.00	2412.72	0.00	0.00	0.00	1255.78
"GBI_00064"	13.18	0.00	0.00	12.90	7.80	4.70	6.54	1.95	11.87	8.27	2.91	17.92	6.49	6.23	6.51	1.06	10.06	6.83	10.90	5.50	4.85	7.68	7.51	8.04	22.81	7.91	5.71	7.55	12.27	0.00	5.94	6.23	8.20
"GBI_00065"	6.19	0.00	0.00	83.34	311.78	4.15	0.00	1.96	6.04	0.00	105.51	72.39	118.11	22.03	0.00	0.00	0.87	4.60	39.53	232.78	8.07	3.00	0.13	3.31	46.02	371.79	10.09	0.44	186.91	0.00	0.00	0.86	94.69
"GBI_00066"	14.17	0.00	0.00	3.87	5.25	2.28	13.62	7.54	9.00	20.37	4.28	4.17	8.71	3.02	6.14	7.60	13.00	46.47	11.14	26.22	5.07	3.04	8.71	75.26	3.41	13.74	0.00	5.27	9.14	0.00	15.67	2.20	15.59
"GBI_00067"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00068"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00069"	0.00	0.00	0.00	0.00	3.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00070"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00071"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00072"	0.00	0.00	0.00	0.96	0.80	0.00	0.00	0.00	0.00	0.48	1.95	0.95	2.13	0.00	0.00	2.81	0.00	1.82	0.00	2.20	0.00	0.35	0.00	2.30	0.31	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00073"	181.95	348.54	152.90	257.23	245.64	180.00	237.72	137.66	172.92	136.40	133.54	266.53	247.50	239.48	234.42	158.98	263.86	145.43	254.09	161.46	166.37	144.71	248.99	208.64	220.43	160.91	93.86	140.50	269.10	0.00	114.57	199.09	200.50
"GBI_00074"	214.15	0.00	172.04	196.25	228.38	79.23	296.16	214.30	298.94	153.44	145.09	223.75	229.64	125.91	321.54	170.86	194.16	173.82	208.62	216.81	169.52	159.49	157.03	211.82	180.46	220.86	116.93	195.44	263.68	0.00	139.12	135.47	194.04
"GBI_00075"	31.63	0.00	0.00	24.55	50.14	11.93	15.52	34.79	23.96	13.38	24.69	22.47	32.82	11.52	11.82	103.21	37.59	29.87	30.43	29.41	20.78	23.18	49.52	44.66	22.43	38.90	12.87	31.70	31.31	0.00	11.35	17.27	31.08
"GBI_00076"	72.82	0.00	0.00	20.88	21.69	66.62	199.26	13.41	33.10	765.71	10.00	24.64	19.41	134.23	151.28	6.93	464.01	22.78	12.85	16.37	122.52	42.39	530.46	12.00	32.57	15.51	143.01	34.51	35.83	0.00	1041.81	32.88	143.57
"GBI_00077"	0.00	0.00	0.00	20.54	37.48	0.00	0.00	3.78	3.33	0.00	7.23	17.34	26.89	0.00	0.00	13.46	0.00	4.97	24.00	10.63	0.00	1.19	0.00	5.24	6.92	22.41	0.00	0.00	11.10	0.00	0.00	1.23	9.74
"GBI_00078"	39.49	0.00	0.00	35.41	39.04	6.31	20.92	29.80	23.58	6.60	48.40	29.47	26.13	3.35	10.67	12.27	18.39	54.34	29.84	34.63	5.60	50.38	15.09	45.18	25.17	25.24	6.13	57.19	15.36	0.00	1.53	45.55	26.16
"GBI_00079"	121.80	0.00	109.87	75.23	66.75	290.65	89.56	107.62	151.97	53.30	96.40	72.41	59.36	193.89	81.61	30.88	172.86	81.95	65.09	70.13	122.13	177.48	189.85	81.14	76.31	80.97	155.77	95.68	115.02	0.00	50.03	120.77	102.68
"GBI_00080"	57.25	0.00	0.00	11.58	14.93	5.80	14.79	20.90	17.78	5.14	16.65	13.39	11.76	3.83	5.77	18.56	16.86	15.00	15.07	16.47	2.99	14.23	23.72	23.03	13.17	19.47	6.73	12.37	16.78	0.00	5.71	17.08	14.01
"GBI_00081"	505.04	241.96	283.04	191.63	154.18	381.59	253.80	208.15	628.98	391.63	256.41	182.22	163.82	255.79	190.63	324.61	218.13	363.57	179.05	214.81	294.35	865.10	253.24	334.92	220.50	207.23	232.15	952.86	286.45	0.00	338.81	481.16	303.80
"GBI_00082"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00083"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00084"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.18	0.25	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00085"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.26	0.00	3.37	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.51	0.29	0.00	0.00	0.38	0.00	0.00	0.00	0.00
"GBI_00086"	0.00	0.00	0.00	0.42	0.97	0.00	0.00	0.00	0.00	0.00	2.93	0.78	1.42	0.00	0.00	0.00	0.00	1.05	0.00	1.29	0.00	1.74	0.00	0.32	11.09	12.26	0.00	0.00	0.77	0.00	0.26	0.00	0.62
"GBI_00087"	0.00	0.00	0.00	1.93	1.38	0.00	0.00	2.32	1.56	0.00	17.96	7.03	28.40	2.17	0.00	0.15	0.00	0.98	0.00	0.93	0.91	1.72	0.00	0.00	28.31	31.61	0.00	0.00	3.66	0.00	1.46	0.08	5.41
"GBI_00088"	0.00	0.00	0.00	5.27	0.00	0.00	0.00	0.00	558.90	1.44	56.89	24.57	131.49	0.00	0.00	0.00	0.00	614.64	2.38	12.50	0.00	0.00	0.00	0.00	91.98	134.37	0.00	1884.73	19.75	0.00	0.00	0.00	79.18
"GBI_00089"	0.00	0.00	0.00	1.56	0.00	0.00	0.00	0.00	71.50	5.41	4.90	2.48	23.95	0.00	0.00	0.00	0.47	14.94	0.00	4.45	0.00	8.54	0.00	0.00	11.77	24.43	0.00	195.52	2.95	0.00	5.84	0.51	14.15
"GBI_00090"	0.00	0.00	0.00	0.00	0.00	0.00	3.99	0.00	127.53	0.00	69.84	2.44	0.00	0.00	2.31	0.00	0.00	20.95	0.00	0.00	0.00	110.79	0.00	0.00	0.00	1.36	0.00	143.99	0.00	0.00	0.00	27.09	15.08
"GBI_00091"	0.00	0.00	0.00	4.07	1.93	0.00	0.00	0.00	1.95	5.57	9.53	4.92	7.32	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.00	11.44	0.00	0.00	14.02	15.89	0.00	0.00	4.27	0.00	0.66	0.00	1.04
"GBI_00092"	0.00	0.00	0.00	0.94	2.48	2.51	0.00	0.00	690.08	1.43	1.37	1.64	2.45	0.00	0.00	0.23	0.42	30.96	0.00	0.48	0.00	41.22	0.96	1.48	27.26	27.54	12.18	851.80	9.15	0.00	1.19	0.00	29.62
"GBI_00093"	0.97	0.00	0.00	9.54	13.85	19.43	0.00	1.83	0.00	0.00	4.84	3.94	2.11	5.16	1.49	3.50	0.00	1.81	1.99	6.36	0.00	0.86	0.00	8.56	0.00	2.64	0.00	3.26	2.31	0.00	0.00	13.56	4.43
"GBI_00094"	3.96	0.00	0.00	3.28	4.76	2.66	0.88	0.00	1.66	19.24	2.49	1.35	0.36	0.00	2.04	2.16	1.11	0.93	0.34	0.00	0.00	0.00	0.68	1.30	1.33	1.51	0.00	0.00	1.18	0.00	19.61	0.61	0.91
