Unnamed: 0,TaxId,Species,FamilyId,FamilyName,OrderId,OrderName,TSA,BioProject_id,Publication(PMID/DOI),lotus_hits,osk_hits,oskar_hits
25,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,GFBL,PRJNA319468,None,"GFBL01040643.1_3,GFBL01040644.1_3,GFBL01025388.1_4,GFBL01025387.1_4,GFBL01076734.1_1",None,None
26,6687,Penaeus monodon,6685,Penaeidae,6683,Decapoda,GFCA,PRJNA321953,None,"GFCA01015592.1_5,GFCA01035228.1_3",None,None
27,732109,Gammarus chevreuxi,36939,Gammaridae,6821,Amphipoda,GFCV,PRJNA357029,None,"GFCV01077117.1_6,GFCV01077118.1_4",GFCV01071208.1_1,None
28,6706,Homarus americanus,6704,Nephropidae,6683,Decapoda,GFDA,PRJNA338672,27823957,"GFDA01052044.1_5,GFDA01052043.1_4,GFDA01120144.1_2",None,None
29,337810,Oratosquilla oratoria,84348,Squillidae,6683,Decapoda,GFFH,PRJNA360549,None,"GFFH01050102.1_3,GFFH01000214.1_2,GFFH01000217.1_2,GFFH01000216.1_3,GFFH01000215.1_3,GFFH01000213.1_1",GFFH01025654.1_2,None
30,210409,Portunus trituberculatus,6757,Portunidae,6683,Decapoda,GFFJ,PRJNA361004,None,GFFJ01060368.1_1,"GFFJ01062678.1_6,GFFJ01046663.1_2",None
31,108111,Eurypanopeus depressus,108099,Panopeidae,6683,Decapoda,GFJG,PRJNA376168,None,"GFJG01056701.1_2,GFJG01074135.1_2,GFJG01122887.1_2,GFJG01090144.1_3","GFJG01046418.1_1,GFJG01119870.1_3,GFJG01055870.1_1,GFJG01013668.1_2,GFJG01074736.1_2,GFJG01050435.1_2,GFJG01053611.1_3,GFJG01122682.1_2,GFJG01054525.1_3,GFJG01062180.1_1,GFJG01062181.1_1,GFJG01074737.1_1,GFJG01122680.1_1,GFJG01122681.1_1,GFJG01122679.1_2,GFJG01054526.1_1,GFJG01018744.1_2",None
32,361634,Hyas araneus,6805,Majidae,6683,Decapoda,HAAI,PRJEB1422,24212285,HAAI01009596.1_3,"HAAI01005844.1_1,HAAI01008845.1_5",None
33,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,HAAW,PRJEB4317,None,HAAW01033172.1_2,None,None
34,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,HAAX,PRJEB4541,None,HAAX01040123.1_2,None,None
35,174397,Pagurus bernhardus,6745,Paguridae,6683,Decapoda,HABX,PRJEB1673,None,None,None,None
36,474045,Coenobita clypeatus,177219,Coenobitidae,6683,Decapoda,HABY,PRJEB1673,None,None,None,None
37,72036,Lepeophtheirus salmonis,72034,Caligidae,72033,Siphonostomatoida,HACA,PRJEB1804,None,"HACA01006367.1_3,HACA01019621.1_2,HACA01022757.1_1",None,None
38,27406,Cherax quadricarinatus,37850,Parastacidae,6683,Decapoda,HACB,PRJEB5112,None,"HACB02042677.1_3,HACB02042676.1_3,HACB02042675.1_3",None,None
39,361634,Hyas araneus,6805,Majidae,6683,Decapoda,HACH,PRJEB1298,None,HACH01030194.1_2,"HACH01030885.1_5,HACH01030887.1_5,HACH01030884.1_6,HACH01034010.1_6,HACH01034009.1_4,HACH01024670.1_5,HACH01016535.1_2,HACH01030886.1_6",None
40,113644,Calanus glacialis,6835,Calanidae,6833,Calanoida,HACJ,PRJNA274584,25863290,None,None,None
41,27406,Cherax quadricarinatus,37850,Parastacidae,6683,Decapoda,HACK,PRJEB5112,None,"HACK01017046.1_4,HACK01017043.1_4,HACK01017047.1_4,HACK01017044.1_4","HACK01039563.1_4,HACK01039564.1_4",None
42,732109,Gammarus chevreuxi,36939,Gammaridae,6821,Amphipoda,HADC,PRJEB11518,None,None,None,None
43,1281925,Bragasellus molinai,63227,Asellidae,29979,Isopoda,HAEM,PRJEB14193,None,"HAEM01047823.1_1,HAEM01047824.1_3",None,None
44,1282048,Bragasellus peltatus,63227,Asellidae,29979,Isopoda,HAEN,PRJEB14193,None,"HAEN01014775.1_2,HAEN01014776.1_2,HAEN01041445.1_1,HAEN01048942.1_6",None,None
45,1281939,Proasellus aragonensis,63227,Asellidae,29979,Isopoda,HAEO,PRJEB14193,None,"HAEO01045127.1_3,HAEO01045128.1_3,HAEO01056611.1_6,HAEO01067557.1_6,HAEO01046181.1_1,HAEO01046184.1_1,HAEO01046186.1_1",None,None
46,1282049,Proasellus assaforensis,63227,Asellidae,29979,Isopoda,HAEP,PRJEB14193,None,"HAEP01074156.1_6,HAEP01066023.1_4","HAEP01030645.1_6,HAEP01044379.1_5,HAEP01044377.1_6,HAEP01044374.1_6",None
47,1281940,Proasellus arthrodilus,63227,Asellidae,29979,Isopoda,HAEQ,PRJEB14193,None,"HAEQ01047775.1_2,HAEQ01020403.1_3,HAEQ01047774.1_2,HAEQ01047776.1_2,HAEQ01047773.1_2","HAEQ01054989.1_3,HAEQ01054987.1_3,HAEQ01054986.1_3,HAEQ01060339.1_5,HAEQ01060337.1_5",None
48,1281948,Proasellus cantabricus,63227,Asellidae,29979,Isopoda,HAER,PRJEB14193,None,"HAER01065136.1_2,HAER01043568.1_1",None,None
49,1281949,Proasellus cavaticus,63227,Asellidae,29979,Isopoda,HAES,PRJEB14193,None,"HAES01061351.1_5,HAES01061356.1_5,HAES01061355.1_5,HAES01061348.1_5,HAES01061353.1_5,HAES01061357.1_5,HAES01061349.1_6,HAES01061352.1_6,HAES01052338.1_1,HAES01097180.1_5,HAES01043504.1_5",None,None
50,63229,Proasellus coxalis,63227,Asellidae,29979,Isopoda,HAET,PRJEB14193,None,"HAET01013687.1_5,HAET01006177.1_1,HAET01032615.1_4",None,None
51,1281953,Proasellus coiffaiti,63227,Asellidae,29979,Isopoda,HAEU,PRJEB14193,None,"HAEU01030378.1_5,HAEU01030379.1_4,HAEU01041691.1_4,HAEU01041693.1_4,HAEU01041692.1_6,HAEU01041694.1_4,HAEU01041698.1_4,HAEU01041695.1_6,HAEU01041696.1_6,HAEU01041697.1_6",HAEU01062117.1_4,None
52,1281963,Proasellus escolai,63227,Asellidae,29979,Isopoda,HAEV,PRJEB14193,None,"HAEV01130177.1_2,HAEV01074268.1_1,HAEV01074255.1_1",None,None
53,1281961,Proasellus ebrensis,63227,Asellidae,29979,Isopoda,HAEW,PRJEB14193,None,"HAEW01077083.1_2,HAEW01045025.1_4",None,None
54,1281973,Proasellus grafi,63227,Asellidae,29979,Isopoda,HAEX,PRJEB14193,None,"HAEX01019109.1_3,HAEX01027529.1_1",HAEX01038769.1_2,None
55,1281974,Proasellus granadensis,63227,Asellidae,29979,Isopoda,HAEY,PRJEB14193,None,"HAEY01003464.1_5,HAEY01056028.1_4",HAEY01029815.1_6,None
56,1281977,Proasellus hercegovinensis,63227,Asellidae,29979,Isopoda,HAEZ,PRJEB14193,None,"HAEZ01064568.1_5,HAEZ01037323.1_5,HAEZ01037324.1_5,HAEZ01037322.1_6,HAEZ01037325.1_6,HAEZ01037321.1_5,HAEZ01028227.1_6","HAEZ01097655.1_2,HAEZ01097639.1_2,HAEZ01093763.1_1,HAEZ01052368.1_2,HAEZ01052366.1_2,HAEZ01093764.1_2,HAEZ01080929.1_1",None
57,1281981,Proasellus ibericus,63227,Asellidae,29979,Isopoda,HAFA,PRJEB14193,None,HAFA01031678.1_2,None,None
58,1281986,Proasellus jaloniacus,63227,Asellidae,29979,Isopoda,HAFB,PRJEB14193,None,"HAFB01023077.1_5,HAFB01023076.1_4,HAFB01017660.1_3,HAFB01030497.1_1,HAFB01030493.1_1",None,None
59,1281987,Proasellus karamani,63227,Asellidae,29979,Isopoda,HAFC,PRJEB14193,None,"HAFC01018425.1_5,HAFC01003822.1_5,HAFC01141751.1_1","HAFC01071967.1_2,HAFC01099834.1_2",None
60,1281998,Proasellus margalefi,63227,Asellidae,29979,Isopoda,HAFD,PRJEB14193,None,"HAFD01054544.1_1,HAFD01054550.1_1",None,None
61,1282001,Proasellus meridianus,63227,Asellidae,29979,Isopoda,HAFE,PRJEB14193,None,"HAFE01065584.1_1,HAFE01065585.1_1,HAFE01065587.1_1,HAFE01065586.1_1,HAFE01022928.1_6",None,None
62,1282012,Proasellus ortizi,63227,Asellidae,29979,Isopoda,HAFF,PRJEB14193,None,"HAFF01021251.1_3,HAFF01021251.1_1",HAFF01030697.1_3,None
63,1282015,Proasellus parvulus,63227,Asellidae,29979,Isopoda,HAFG,PRJEB14193,None,"HAFG01036189.1_6,HAFG01104496.1_1,HAFG01104485.1_5","HAFG01070794.1_2,HAFG01070795.1_2,HAFG01119032.1_5,HAFG01119036.1_4,HAFG01119018.1_6,HAFG01097127.1_2",None
64,1282023,Proasellus racovitzai,63227,Asellidae,29979,Isopoda,HAFH,PRJEB14193,None,"HAFH01055214.1_1,HAFH01007461.1_1",None,None
