tsa_id,species,order,family,oskar,TSA,bioproject,biosample,sex,stage,tissue,raw_tissue,brain,germline,clean_tissue,clean_stage,clean_sex
GBNG,vespula_germanica,Hymenoptera,Vespidae,found,GBNG00000000.1,PRJNA252254,SAMN02870439,None,None,whole organism,whole organism,0,0,whole organism,None,None
GAQV,trypoxylus_dichotomus,Coleoptera,Scarabaeidae,not found,GAQV00000000.1,PRJNA231720,SAMN02404638,None,None,None,None,0,0,None,None,None
GAQV,trypoxylus_dichotomus,Coleoptera,Scarabaeidae,not found,GAQV00000000.1,PRJNA231720,SAMN02404617,None,None,None,None,0,0,None,None,None
GAUW,apachyus_charteceus,Dermaptera,Apachyidae,not found,GAUW00000000.2,PRJNA219524,SAMN02047175,female,None,None,None,0,0,None,None,female
GAUZ,stenobothrus_lineatus,Orthoptera,Acrididae,not found,GAUZ00000000.2,PRJNA219602,SAMN02047119,None,None,None,None,0,0,None,None,None
GBQN,megachile_willughbiella,Hymenoptera,Megachilidae,not found,GBQN00000000.1,PRJNA252282,SAMN02870335,missing,None,None,None,0,0,None,None,undetermined sex
GBQN,megachile_willughbiella,Hymenoptera,Megachilidae,not found,GBQN00000000.1,PRJNA252282,SAMN02870335,None,adult,None,None,0,0,None,adult,None
GBQN,megachile_willughbiella,Hymenoptera,Megachilidae,not found,GBQN00000000.1,PRJNA252282,SAMN02870335,None,None,whole organism,whole organism,0,0,whole organism,None,None
GEVJ,cochliomyia_hominivorax,Diptera,Calliphoridae,not found,GEVJ00000000.1,PRJNA324578,SAMN02776973,not determined,None,None,None,0,0,None,None,undetermined sex
GEVJ,cochliomyia_hominivorax,Diptera,Calliphoridae,not found,GEVJ00000000.1,PRJNA324578,SAMN02776973,None,"l5 larvae, pupae and adults",None,None,0,0,None,all stages,None
GEVJ,cochliomyia_hominivorax,Diptera,Calliphoridae,not found,GEVJ00000000.1,PRJNA324578,SAMN02776973,None,None,entire body,entire body,0,0,whole organism,None,None
GBRL,sitodiplosis_mosellana,Diptera,Cecidomyiidae,found,GBRL00000000.1,PRJNA192921,SAMN02821154,None,None,None,None,0,0,None,None,None
GBRL,sitodiplosis_mosellana,Diptera,Cecidomyiidae,found,GBRL00000000.1,PRJNA192921,SAMN02821155,None,None,None,None,0,0,None,None,None
GBQA,torymus_bedeguaris,Hymenoptera,Torymidae,found,GBQA00000000.1,PRJNA252313,SAMN02870430,missing,None,None,None,0,0,None,None,undetermined sex
GBQA,torymus_bedeguaris,Hymenoptera,Torymidae,found,GBQA00000000.1,PRJNA252313,SAMN02870430,None,adult,None,None,0,0,None,adult,None
GBQA,torymus_bedeguaris,Hymenoptera,Torymidae,found,GBQA00000000.1,PRJNA252313,SAMN02870430,None,None,whole organism,whole organism,0,0,whole organism,None,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628822,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628822,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628823,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628823,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628824,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628824,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628825,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628825,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628826,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628826,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628827,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628827,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628828,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628828,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628829,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628829,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628830,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628830,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628831,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628831,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628832,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628832,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628833,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628833,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628834,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628834,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628835,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628835,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628836,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628836,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628837,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628837,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628838,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628838,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628839,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628839,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628840,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628840,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628841,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628841,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628842,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628842,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628843,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628843,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628844,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628844,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628845,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628845,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628846,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628846,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628847,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628847,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628848,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628848,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628849,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628849,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628850,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628850,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628851,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628851,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628852,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628852,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628853,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628853,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628854,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628854,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628855,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628855,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628856,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628856,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628857,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628857,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628858,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628858,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628859,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628859,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628860,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628860,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628861,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628861,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628862,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628862,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628863,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628863,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628864,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628864,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628865,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628865,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628866,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628866,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628867,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628867,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628868,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628868,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628869,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628869,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628870,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628870,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628871,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628871,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628872,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628872,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628873,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628873,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628874,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628874,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628875,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628875,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628876,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628876,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628877,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628877,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628878,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628878,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628879,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628879,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628880,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628880,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628881,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628881,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628882,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628882,None,adult,None,None,0,0,None,adult,None
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628883,female,None,None,None,0,0,None,None,female
GFNA,aedes_aegypti,Diptera,Culicidae,not found,GFNA00000000.1,PRJNA236239,SAMN02628883,None,adult,None,None,0,0,None,adult,None
