tsa_id,species,order,family,oskar,TSA,bioproject,biosample,sex,stage,tissue,raw_tissue,brain,germline,clean_tissue,clean_stage,clean_sex
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673369,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673370,female,None,None,None,0,0,None,None,female
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673370,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673371,male,None,None,None,0,0,None,None,male
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673371,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673372,male,None,None,None,0,0,None,None,male
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673372,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673373,male,None,None,None,0,0,None,None,male
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673373,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673374,male,None,None,None,0,0,None,None,male
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673374,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673377,male,None,None,None,0,0,None,None,male
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673377,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673378,not determined,None,None,None,0,0,None,None,undetermined sex
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673378,None,larval,None,None,0,0,None,larvae,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673379,not determined,None,None,None,0,0,None,None,undetermined sex
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673379,None,larval,None,None,0,0,None,larvae,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673380,male,None,None,None,0,0,None,None,male
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673380,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673381,female,None,None,None,0,0,None,None,female
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673381,None,adult,None,None,0,0,None,adult,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673369,None,None,ovary,ovary,0,1,ovaries,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02672503,None,None,testis,testis,0,0,testes,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673372,None,None,testis,testis,0,0,testes,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673373,None,None,testis,testis,0,0,testes,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673374,None,None,testis,testis,0,0,testes,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673377,None,None,testis,testis,0,0,testes,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673378,None,None,whole larvae,whole larvae,0,0,whole organism,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673379,None,None,whole larvae,whole larvae,0,0,whole organism,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673370,None,None,whole heads,whole heads,1,0,head,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673371,None,None,whole heads,whole heads,1,0,head,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673380,None,None,males without ovaries or head,males without ovaries or head,0,0,whole organism,None,None
GALP,drosophila_miranda,Diptera,Drosophilidae,found,GALP00000000.1,PRJNA208862,SAMN02673381,None,None,females without ovaries or head,females without ovaries or head,0,0,whole organism,None,None
GBOE,chlorion_hirtum,Hymenoptera,Sphecidae,not found,GBOE00000000.1,PRJNA252145,SAMN02870238,female,None,None,None,0,0,None,None,female
GBOE,chlorion_hirtum,Hymenoptera,Sphecidae,not found,GBOE00000000.1,PRJNA252145,SAMN02870238,None,adult,None,None,0,0,None,adult,None
GBOE,chlorion_hirtum,Hymenoptera,Sphecidae,not found,GBOE00000000.1,PRJNA252145,SAMN02870238,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBTS,orussus_unicolor,Hymenoptera,Orussidae,not found,GBTS00000000.1,PRJNA252209,SAMN02870359,missing,None,None,None,0,0,None,None,undetermined sex
GBTS,orussus_unicolor,Hymenoptera,Orussidae,not found,GBTS00000000.1,PRJNA252209,SAMN02870359,None,adult,None,None,0,0,None,adult,None
GBTS,orussus_unicolor,Hymenoptera,Orussidae,not found,GBTS00000000.1,PRJNA252209,SAMN02870359,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBWD,macrocentrus_marginator,Hymenoptera,Braconidae,found,GBWD00000000.1,PRJNA252187,SAMN02870332,missing,None,None,None,0,0,None,None,undetermined sex
GBWD,macrocentrus_marginator,Hymenoptera,Braconidae,found,GBWD00000000.1,PRJNA252187,SAMN02870332,None,adult,None,None,0,0,None,adult,None
GBWD,macrocentrus_marginator,Hymenoptera,Braconidae,found,GBWD00000000.1,PRJNA252187,SAMN02870332,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBVJ,tetraloniella_nigriceps,Hymenoptera,Apidae,not found,GBVJ00000000.1,PRJNA252116,SAMN02870425,female,None,None,None,0,0,None,None,female
GBVJ,tetraloniella_nigriceps,Hymenoptera,Apidae,not found,GBVJ00000000.1,PRJNA252116,SAMN02870425,None,adult,None,None,0,0,None,adult,None
GBVJ,tetraloniella_nigriceps,Hymenoptera,Apidae,not found,GBVJ00000000.1,PRJNA252116,SAMN02870425,None,None,whole organism,whole organism,0,0,whole organism,None,None
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03120571,not collected,None,None,None,0,0,None,None,undetermined sex
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144199,not collected,None,None,None,0,0,None,None,undetermined sex
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144200,not collected,None,None,None,0,0,None,None,undetermined sex
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144201,not collected,None,None,None,0,0,None,None,undetermined sex
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144202,not collected,None,None,None,0,0,None,None,undetermined sex
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144203,not collected,None,None,None,0,0,None,None,undetermined sex
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03120571,None,None,fat body,fat body,0,0,fat body,None,None
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144199,None,None,fat body,fat body,0,0,fat body,None,None
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144200,None,None,fat body,fat body,0,0,fat body,None,None
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144201,None,None,hemocytes,hemocytes,0,0,blood,None,None
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144202,None,None,hemocytes,hemocytes,0,0,blood,None,None
GDQV,arachnocampa_luminosa,Diptera,Keroplatidae,found,GDQV00000000.1,PRJNA290397,SAMN03144203,None,None,hemocytes,hemocytes,0,0,blood,None,None
GBUJ,colletes_cunicularius,Hymenoptera,Colletidae,not found,GBUJ00000000.1,PRJNA252324,SAMN02870267,female,None,None,None,0,0,None,None,female
GBUJ,colletes_cunicularius,Hymenoptera,Colletidae,not found,GBUJ00000000.1,PRJNA252324,SAMN02870267,None,adult,None,None,0,0,None,adult,None
GBUJ,colletes_cunicularius,Hymenoptera,Colletidae,not found,GBUJ00000000.1,PRJNA252324,SAMN02870267,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBMJ,lithurgus_chrysurus,Hymenoptera,Megachilidae,not found,GBMJ00000000.1,PRJNA252207,SAMN02870331,missing,None,None,None,0,0,None,None,undetermined sex
GBMJ,lithurgus_chrysurus,Hymenoptera,Megachilidae,not found,GBMJ00000000.1,PRJNA252207,SAMN02870331,None,adult,None,None,0,0,None,adult,None
GBMJ,lithurgus_chrysurus,Hymenoptera,Megachilidae,not found,GBMJ00000000.1,PRJNA252207,SAMN02870331,None,None,whole organism,whole organism,0,0,whole organism,None,None
GAYA,zorotypus_caudelli,Zoraptera,Zorotypidae,not found,GAYA00000000.2,PRJNA219620,SAMN02047173,None,None,None,None,0,0,None,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776850,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776850,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776851,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776851,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776852,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776852,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776853,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776853,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776854,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776854,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776855,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776855,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776856,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776856,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776857,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776857,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776858,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776858,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776859,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776859,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776860,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776860,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776861,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776861,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776862,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776862,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776863,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776863,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776864,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776864,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776865,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776865,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776866,None,adult,None,None,0,0,None,adult,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776866,female,None,None,None,0,0,None,None,female
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776850,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776851,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776852,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776853,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776854,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776855,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776856,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776857,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776858,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776859,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776860,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776861,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776862,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776863,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776864,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776865,None,None,brain,brain,1,0,brain,None,None
GBUI,phaedon_cochleariae,Coleoptera,Chrysomelidae,not found,GBUI00000000.1,PRJNA210148,SAMN03776866,None,None,brain,brain,1,0,brain,None,None
GEDO,conogethes_punctiferalis,Lepidoptera,Crambidae,not found,GEDO00000000.1,PRJNA304355,SAMN03018469,not determined,None,None,None,0,0,None,None,undetermined sex
GEDO,conogethes_punctiferalis,Lepidoptera,Crambidae,not found,GEDO00000000.1,PRJNA304355,SAMN03018470,not determined,None,None,None,0,0,None,None,undetermined sex
GEDO,conogethes_punctiferalis,Lepidoptera,Crambidae,not found,GEDO00000000.1,PRJNA304355,SAMN03018469,None,None,whole body,whole body,0,0,whole organism,None,None
GEDO,conogethes_punctiferalis,Lepidoptera,Crambidae,not found,GEDO00000000.1,PRJNA304355,SAMN03018470,None,None,whole body,whole body,0,0,whole organism,None,None
GAWY,oropsylla_silantiewi,Siphonaptera,Ceratophyllidae,not found,GAWY00000000.1,PRJNA237990,SAMN02058509,female,None,None,None,0,0,None,None,female
GAYH,conwentzia_psociformis,Neuroptera,Coniopterygidae,not found,GAYH00000000.2,PRJNA219541,SAMN02047107,None,adult,None,None,0,0,None,adult,None
GBEY,bactrocera_minax,Diptera,Tephritidae,not found,GBEY00000000.1,PRJNA246133,SAMN02687583,female,None,None,None,0,0,None,None,female
GBEY,bactrocera_minax,Diptera,Tephritidae,not found,GBEY00000000.1,PRJNA246133,SAMN02687583,None,adult,None,None,0,0,None,adult,None
GBEY,bactrocera_minax,Diptera,Tephritidae,not found,GBEY00000000.1,PRJNA246133,SAMN02687583,None,None,head,head,1,0,head,None,None
GAJY,megalurothrips_sjostedti,Thysanoptera,Thripidae,not found,GAJY00000000.1,PRJNA192262,SAMN01906577,None,None,None,None,0,0,None,None,None
GAVB,triodia_sylvina,Lepidoptera,Hepialidae,not found,GAVB00000000.2,PRJNA219615,SAMN02047162,None,None,None,None,0,0,None,None,None
GBQL,episyron_rufipes,Hymenoptera,Pompilidae,found,GBQL00000000.1,PRJNA252283,SAMN02870292,missing,None,None,None,0,0,None,None,undetermined sex
GBQL,episyron_rufipes,Hymenoptera,Pompilidae,found,GBQL00000000.1,PRJNA252283,SAMN02870292,None,adult,None,None,0,0,None,adult,None
GBQL,episyron_rufipes,Hymenoptera,Pompilidae,found,GBQL00000000.1,PRJNA252283,SAMN02870292,None,None,whole organism,whole organism,0,0,whole organism,None,None
GENH,dryadaula_visaliella,Lepidoptera,Tineidae,not found,GENH00000000.1,PRJNA298054,SAMN04155510,None,adult,None,None,0,0,None,adult,None
GENH,dryadaula_visaliella,Lepidoptera,Tineidae,not found,GENH00000000.1,PRJNA298054,SAMN04155510,None,None,abdomen,abdomen,0,0,abdomen,None,None
GEON,palaephatus_luteolus,Lepidoptera,Palaephatidae,found,GEON00000000.1,PRJNA298054,SAMN02370283,None,adult,None,None,0,0,None,adult,None
GABB,archaeopsylla_erinacei,Siphonaptera,Pulicidae,not found,GABB00000000.1,PRJNA181025,SAMN03570374,None,None,brain,brain,1,0,brain,None,None
GABB,archaeopsylla_erinacei,Siphonaptera,Pulicidae,not found,GABB00000000.1,PRJNA181025,SAMN03570372,None,None,whole animal,whole animal,0,0,whole organism,None,None
GABB,archaeopsylla_erinacei,Siphonaptera,Pulicidae,not found,GABB00000000.1,PRJNA181025,SAMN03570373,None,None,"fat body, reproductive tissues","fat body, reproductive tissues",0,1,fat body & reproductive tissues,None,None
GBOS,dendrocerus_carpenteri,Hymenoptera,Megaspilidae,found,GBOS00000000.1,PRJNA252710,SAMN02870277,missing,None,None,None,0,0,None,None,undetermined sex
GBOS,dendrocerus_carpenteri,Hymenoptera,Megaspilidae,found,GBOS00000000.1,PRJNA252710,SAMN02870277,None,adult,None,None,0,0,None,adult,None
GBOS,dendrocerus_carpenteri,Hymenoptera,Megaspilidae,found,GBOS00000000.1,PRJNA252710,SAMN02870277,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBQD,sphex_funerarius,Hymenoptera,Sphecidae,not found,GBQD00000000.1,PRJNA252279,SAMN02870403,missing,None,None,None,0,0,None,None,undetermined sex
GBQD,sphex_funerarius,Hymenoptera,Sphecidae,not found,GBQD00000000.1,PRJNA252279,SAMN02870403,None,adult,None,None,0,0,None,adult,None
GBQD,sphex_funerarius,Hymenoptera,Sphecidae,not found,GBQD00000000.1,PRJNA252279,SAMN02870403,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBPM,pimpla_flavicoxis,Hymenoptera,Ichneumonidae,found,GBPM00000000.1,PRJNA252191,SAMN02870378,missing,None,None,None,0,0,None,None,undetermined sex
GBPM,pimpla_flavicoxis,Hymenoptera,Ichneumonidae,found,GBPM00000000.1,PRJNA252191,SAMN02870378,None,adult,None,None,0,0,None,adult,None
GBPM,pimpla_flavicoxis,Hymenoptera,Ichneumonidae,found,GBPM00000000.1,PRJNA252191,SAMN02870378,None,None,whole organism,whole organism,0,0,whole organism,None,None
GEWY,reticulitermes_flavipes,Blattodea,Rhinotermitidae,not found,GEWY00000000.1,PRJNA336029,SAMN03019587,female,None,None,None,0,0,None,None,female
GEWY,reticulitermes_flavipes,Blattodea,Rhinotermitidae,not found,GEWY00000000.1,PRJNA336029,SAMN03019587,None,None,midgut,midgut,0,0,midgut,None,None
GBVP,nomioides,Hymenoptera,Halictidae,not found,GBVP00000000.1,PRJNA252170,SAMN02870350,female,None,None,None,0,0,None,None,female
GBVP,nomioides,Hymenoptera,Halictidae,not found,GBVP00000000.1,PRJNA252170,SAMN02870350,None,adult,None,None,0,0,None,adult,None
GBVP,nomioides,Hymenoptera,Halictidae,not found,GBVP00000000.1,PRJNA252170,SAMN02870350,None,None,whole organism,whole organism,0,0,whole organism,None,None
GAWP,grylloblatta_bifratrilecta,Grylloblattodea,Grylloblattidae,not found,GAWP00000000.2,PRJNA219561,SAMN02047198,None,None,None,None,0,0,None,None,None
GDHC,lygus_hesperus,Hemiptera,Miridae,not found,GDHC00000000.1,PRJNA284294,SAMN04299556,None,None,antennae,antennae,0,0,antennae,None,None
GENS,ptyssoptera,Lepidoptera,Palaephatidae,found,GENS00000000.1,PRJNA298054,SAMN04155508,None,larva,None,None,0,0,None,larvae,None
GENS,ptyssoptera,Lepidoptera,Palaephatidae,found,GENS00000000.1,PRJNA298054,SAMN04155509,None,larva,None,None,0,0,None,larvae,None
GENS,ptyssoptera,Lepidoptera,Palaephatidae,found,GENS00000000.1,PRJNA298054,SAMN04155508,None,None,entire organism,entire organism,0,0,whole organism,None,None
GENS,ptyssoptera,Lepidoptera,Palaephatidae,found,GENS00000000.1,PRJNA298054,SAMN04155509,None,None,entire organism,entire organism,0,0,whole organism,None,None
GAWR,menopon_gallinae,Phthiraptera,Menoponidae,not found,GAWR00000000.2,PRJNA219579,SAMN02047141,None,None,None,None,0,0,None,None,None
GAXC,thrips_palmi,Thysanoptera,Thripidae,found,GAXC00000000.2,PRJNA219609,SAMN02047112,female,None,None,None,0,0,None,None,female
GAXC,thrips_palmi,Thysanoptera,Thripidae,found,GAXC00000000.2,PRJNA219609,SAMN02047112,None,adult,None,None,0,0,None,adult,None
GBLV,chyphotes,Hymenoptera,Bradynobaenidae,not found,GBLV00000000.1,PRJNA252353,SAMN02870263,male,None,None,None,0,0,None,None,male
GBLV,chyphotes,Hymenoptera,Bradynobaenidae,not found,GBLV00000000.1,PRJNA252353,SAMN02870263,None,adult,None,None,0,0,None,adult,None
GBLV,chyphotes,Hymenoptera,Bradynobaenidae,not found,GBLV00000000.1,PRJNA252353,SAMN02870263,None,None,whole organism,whole organism,0,0,whole organism,None,None
GECL,triatoma_dimidiata,Hemiptera,Reduviidae,not found,GECL00000000.1,PRJNA300554,SAMN04240765,None,5th instar nymph,None,None,0,0,None,5th instar nymph,None
GECL,triatoma_dimidiata,Hemiptera,Reduviidae,not found,GECL00000000.1,PRJNA300554,SAMN04240765,pooled male and female,None,None,None,0,0,None,None,pooled sex
GECL,triatoma_dimidiata,Hemiptera,Reduviidae,not found,GECL00000000.1,PRJNA300554,SAMN04240765,None,None,salivary glands,salivary glands,0,0,salivary glands,None,None
GFDF,nyssomyia_neivai,Diptera,Psychodidae,not found,GFDF00000000.1,PRJNA359206,SAMN06189232,None,None,salivary glands,salivary glands,0,0,salivary glands,None,None
GFDF,nyssomyia_neivai,Diptera,Psychodidae,not found,GFDF00000000.1,PRJNA359206,SAMN06189233,None,None,midgut unfed,midgut unfed,0,0,midgut,None,None
GFDF,nyssomyia_neivai,Diptera,Psychodidae,not found,GFDF00000000.1,PRJNA359206,SAMN06189234,None,None,blood fed midgut,blood fed midgut,0,0,midgut,None,None
GBLX,tremex_magus,Hymenoptera,Siricidae,found,GBLX00000000.1,PRJNA252117,SAMN02870431,female,None,None,None,0,0,None,None,female
GBLX,tremex_magus,Hymenoptera,Siricidae,found,GBLX00000000.1,PRJNA252117,SAMN02870431,None,adult,None,None,0,0,None,adult,None
GBLX,tremex_magus,Hymenoptera,Siricidae,found,GBLX00000000.1,PRJNA252117,SAMN02870431,None,None,whole organism,whole organism,0,0,whole organism,None,None
GAPE,meligethes_aeneus,Coleoptera,Nitidulidae,found,GAPE00000000.1,PRJNA223353,SAMN01892541,None,None,None,None,0,0,None,None,None
GBVG,gasteruption_tournieri,Hymenoptera,Gasteruptiidae,found,GBVG00000000.1,PRJNA252337,SAMN02870301,missing,None,None,None,0,0,None,None,undetermined sex
GBVG,gasteruption_tournieri,Hymenoptera,Gasteruptiidae,found,GBVG00000000.1,PRJNA252337,SAMN02870301,None,adult,None,None,0,0,None,adult,None
