genome,taxId,species,familyId,familyName,orderId,orderName,bioproject,biosample
GCF_000005575.2,180454,Anopheles gambiae,7157,Culicidae,7147,Diptera,PRJNA1438,SAMN02952903
GCF_000214255.1,30195,Bombus terrestris,7458,Apidae,7399,Hymenoptera,PRJNA45869,SAMN00009041
GCF_000217595.1,83485,Linepithema humile,36668,Formicidae,7399,Hymenoptera,PRJNA45799,SAMN02767796
GCF_000005135.1,7220,Drosophila erecta,7214,Drosophilidae,7147,Diptera,PRJNA12661,SAMN02953649
GCF_000005115.1,7217,Drosophila ananassae,7214,Drosophilidae,7147,Diptera,PRJNA12651,SAMN02953648
GCF_000204515.1,103372,Acromyrmex echinatior,36668,Formicidae,7399,Hymenoptera,PRJNA62733,SAMN02953789
GCF_000005155.2,7222,Drosophila grimshawi,7214,Drosophilidae,7147,Diptera,PRJNA12678,SAMN02953650
GCF_000005175.2,7230,Drosophila mojavensis,7214,Drosophilidae,7147,Diptera,PRJNA12682,SAMN02953651
GCF_000005195.2,7234,Drosophila persimilis,7214,Drosophilidae,7147,Diptera,PRJNA12705,SAMN02953632
GCF_000209185.1,7176,Culex quinquefasciatus,7157,Culicidae,7147,Diptera,PRJNA18751,SAMN02953674
GCF_000002195.4,7460,Apis mellifera,7458,Apidae,7399,Hymenoptera,PRJNA10625,SAMN00002455
GCF_000836235.1,66420,Papilio xuthus,7143,Papilionidae,7088,Lepidoptera,PRJDB2956,SAMD00018698
GCF_000836215.1,76194,Papilio polytes,7143,Papilionidae,7088,Lepidoptera,PRJDB2954,SAMD00018697
GCF_000341935.1,211228,Cephus cinctus,27524,Cephidae,7399,Hymenoptera,PRJNA168335,SAMN02905554
GCF_000789215.1,27457,Bactrocera dorsalis,7211,Tephritidae,7147,Diptera,PRJNA208413,SAMN02203716
GCF_000142985.2,7029,Acyrthosiphon pisum,27482,Aphididae,7524,Hemiptera,PRJNA13657,SAMN00000061
GCF_000188075.1,13686,Solenopsis invicta,36668,Formicidae,7399,Hymenoptera,PRJNA49629,SAMN02953778
GCF_000187915.1,144034,Pogonomyrmex barbatus,36668,Formicidae,7399,Hymenoptera,PRJNA45797,SAMN02953770
GCF_000806345.1,28588,Zeugodacus cucurbitae,7211,Tephritidae,7147,Diptera,PRJNA259565,SAMN03083541
GCF_000806365.1,64838,Fopius arisanus,7402,Braconidae,7399,Hymenoptera,PRJNA258104,SAMN03083650
GCF_000006295.1,121224,Pediculus humanus,121221,Pediculidae,85819,Phthiraptera,PRJNA16223,SAMN02953682
GCF_000757685.1,108931,Nilaparvata lugens,33362,Delphacidae,7524,Hemiptera,PRJNA177647,SAMN03077662
GCF_000001215.4,7227,Drosophila melanogaster,7214,Drosophilidae,7147,Diptera,PRJNA13812,SAMN02803731
GCF_000143395.1,12957,Atta cephalotes,36668,Formicidae,7399,Hymenoptera,PRJNA48091,SAMN02953774
GCF_000699045.1,224129,Agrilus planipennis,50527,Buprestidae,7041,Coleoptera,PRJNA230921,SAMN02439909
GCF_000696155.1,136037,Zootermopsis nevadensis,7501,Termopsidae,85823,Blattodea,PRJNA203242,SAMN02146280
GCF_000696795.1,286706,Halyomorpha halys,160513,Pentatomidae,7524,Hemiptera,PRJNA168118,SAMN02737379
GCF_000151625.1,7091,Bombyx mori,7089,Bombycidae,7088,Lepidoptera,PRJDA20217,SAMD00036537
GCF_000147195.1,610380,Harpegnathos saltator,36668,Formicidae,7399,Hymenoptera,PRJNA50203,SAMN00016742
GCF_000147175.1,104421,Camponotus floridanus,36668,Formicidae,7399,Hymenoptera,PRJNA50201,SAMN02953777
GCF_000648655.1,29053,Copidosoma floridanum,29051,Encyrtidae,7399,Hymenoptera,PRJNA171748,SAMN02265491
GCF_000648675.1,79782,Cimex lectularius,30078,Cimicidae,7524,Hemiptera,PRJNA167477,SAMN02649412
GCF_000611835.1,2015173,Ooceraea biroi,36668,Formicidae,7399,Hymenoptera,PRJNA230364,SAMN02428046
GCF_000612105.1,222816,Orussus abietinus,27528,Orussidae,7399,Hymenoptera,PRJNA171756,SAMN02225314
GCF_000503995.1,326594,Ceratosolen solmsi,75187,Agaonidae,7399,Hymenoptera,PRJNA178998,SAMN02953852
GCF_000475195.1,121845,Diaphorina citri,1585420,Liviidae,7524,Hemiptera,PRJNA29447,SAMN00100712
GCF_000472105.1,28584,Drosophila suzukii,7214,Drosophilidae,7147,Diptera,PRJNA213258,SAMN02953868
GCF_000469605.1,7462,Apis dorsata,7458,Apidae,7399,Hymenoptera,PRJNA174631,SAMN02954476
GCF_000005925.1,7260,Drosophila willistoni,7214,Drosophilidae,7147,Diptera,PRJNA12664,SAMN02953653
GCF_000005245.1,7244,Drosophila virilis,7214,Drosophilidae,7147,Diptera,PRJNA12688,SAMN02953641
GCA_002706865.1,69820,Spodoptera litura,7100,Noctuidae,7088,Lepidoptera,PRJNA344815,SAMN05845584
GCA_002589825.1,7137,Galleria mellonella,7135,Pyralidae,7088,Lepidoptera,PRJNA401315,SAMN07602645
GCA_900199445.1,189913,Leptidea sinapis,7114,Pieridae,7088,Lepidoptera,PRJEB21838,SAMEA104171242
GCA_002382865.1,7102,Heliothis virescens,7100,Noctuidae,7088,Lepidoptera,PRJNA379496,SAMN06820520
GCA_002313205.1,109027,Laupala kohalensis,6995,Gryllidae,6993,Orthoptera,PRJNA392944,SAMN07312831
GCA_002278615.1,235516,Pogonus chalceus,41073,Carabidae,7041,Coleoptera,PRJNA381601,SAMN06826929
GCA_002290385.1,94128,Apis cerana,7458,Apidae,7399,Hymenoptera,PRJNA239323,SAMN02666016
GCA_002249905.1,543379,Trichomalopsis sarcophagae,7423,Pteromalidae,7399,Hymenoptera,PRJNA342820,SAMN05770041
GCA_002245475.1,2010997,Calephelis virginiensis,124343,Riodinidae,7088,Lepidoptera,PRJNA390182,SAMN07212116
GCA_002245505.1,2010996,Calephelis nemesis,124343,Riodinidae,7088,Lepidoptera,PRJNA390182,SAMN07212114
GCA_000349125.2,7167,Anopheles albimanus,7157,Culicidae,7147,Diptera,PRJNA191561,SAMN02953839
GCA_002237135.1,139649,Teleopsis dalmanni,139644,Diopsidae,7147,Diptera,PRJNA391339,SAMN07271145
GCA_002236955.1,614101,Dryococelus australis,55199,Phasmatidae,7020,Phasmatodea,PRJNA387351,SAMN07150485
GCA_002233535.1,36667,Philaenus spumarius,36666,Aphrophoridae,7524,Hemiptera,PRJNA321110,SAMN04966133
GCA_002222885.1,42062,Drosophila nasuta,7214,Drosophilidae,7147,Diptera,PRJNA318839,SAMN04851283
GCA_002217905.1,292787,Apis cerana,7458,Apidae,7399,Hymenoptera,PRJDB5799,SAMD00082726
GCA_002213285.1,7108,Spodoptera frugiperda,7100,Noctuidae,7088,Lepidoptera,PRJNA380964,SAMN06658935
GCA_000235995.2,278856,Danaus plexippus,33415,Nymphalidae,7088,Lepidoptera,PRJNA72423,SAMN01758044
GCA_002201625.1,1507135,Euglossa dilemma,7458,Apidae,7399,Hymenoptera,PRJNA388474,SAMN07177610
GCA_002197625.1,998830,Bombyx huttoni,7089,Bombycidae,7088,Lepidoptera,PRJNA198873,SAMN02058603
GCA_002192655.1,174822,Mamestra configurata,7100,Noctuidae,7088,Lepidoptera,PRJNA380242,SAMN06637963
GCA_900068765.1,1608919,Heliconius pardalinus,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670571
GCA_900068405.1,33444,Heliconius elevatus,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670526
GCA_900068005.1,33441,Heliconius pardalinus,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1919253
GCA_002150865.1,7113,Helicoverpa zea,7100,Noctuidae,7088,Lepidoptera,PRJNA378438,SAMN06608706
GCA_002156465.1,535359,Macrocentrus cingulum,7402,Braconidae,7399,Hymenoptera,PRJNA361069,SAMN06220073
GCA_900182495.1,58824,Plodia interpunctella,7135,Pyralidae,7088,Lepidoptera,PRJEB4874,SAMEA104034066
GCA_900068825.1,33440,Heliconius xanthocles,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670577
GCA_900068345.1,1608915,Laparus doris,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670520
