genome,taxId,species,familyId,familyName,orderId,orderName,bioproject,biosample
GCA_001010745.1,56086,Gerris buenoi,36161,Gerridae,7524,Hemiptera,PRJNA203045,SAMN02800617
GCA_000181055.3,13249,Rhodnius prolixus,27479,Reduviidae,7524,Hemiptera,PRJNA13648,SAMN02953759
GCA_000956275.1,30065,Anopheles koliensis,7157,Culicidae,7147,Diptera,PRJNA248827,SAMN02803811
GCA_000956255.1,30068,Anopheles punctulatus,7157,Culicidae,7147,Diptera,PRJNA248827,SAMN02803809
GCA_000956265.1,69004,Anopheles farauti,7157,Culicidae,7147,Diptera,PRJNA248827,SAMN02803810
GCA_000956215.1,59191,Anopheles farauti No. 4,7157,Culicidae,7147,Diptera,PRJNA248827,SAMN02803812
GCA_000931545.1,45779,Papilio glaucus,7143,Papilionidae,7088,Lepidoptera,PRJNA270125,SAMN03263079
GCA_000833685.1,765876,Dactylopius coccus,38115,Dactylopiidae,7524,Hemiptera,PRJNA244295,SAMN02726234
GCA_000819425.1,346610,Apis mellifera,7458,Apidae,7399,Hymenoptera,PRJNA230767,SAMN02437452
GCA_000818775.1,67801,Glossina palpalis,7392,Glossinidae,7147,Diptera,PRJNA172847,SAMN01796024
GCA_000786525.1,7153,Chironomus tentans,7149,Chironomidae,7147,Diptera,PRJEB1888,SAMEA3158483
GCA_000786065.1,437484,Piezodorus guildinii,160513,Pentatomidae,7524,Hemiptera,PRJNA263369,SAMN03099748
GCA_000775305.1,315563,Belgica antarctica,7149,Chironomidae,7147,Diptera,PRJNA172148,SAMN02950991
GCA_000762945.1,6973,Blattella germanica,1049651,Ectobiidae,85823,Blattodea,PRJNA203136,SAMN02644979
GCA_000441895.2,74873,Anopheles sinensis,7157,Culicidae,7147,Diptera,PRJNA209295,SAMN02910229
GCA_000716385.1,113334,Melitaea cinxia,33415,Nymphalidae,7088,Lepidoptera,PRJNA191594,SAMN01932438
GCA_000696855.1,197043,Homalodisca vitripennis,30102,Cicadellidae,7524,Hemiptera,PRJNA168119,SAMN02728788
GCA_000697945.1,133901,Frankliniella occidentalis,45053,Thripidae,30262,Thysanoptera,PRJNA203209,SAMN02303501
GCA_000696205.1,7536,Oncopeltus fasciatus,7533,Lygaeidae,7524,Hemiptera,PRJNA229125,SAMN02645558
GCA_000695645.1,38123,Pachypsylla venusta,1566705,Aphalaridae,7524,Hemiptera,PRJNA167476,SAMN02209966
GCA_000688715.1,7398,Glossina pallidipes,7392,Glossinidae,7147,Diptera,PRJNA184812,SAMN02768704
GCA_000688735.1,7395,Glossina austeni,7392,Glossinidae,7147,Diptera,PRJNA189552,SAMN02768703
GCA_000695345.1,59916,Bactrocera tryoni,7211,Tephritidae,7147,Diptera,PRJNA241080,SAMN02670756
GCA_000671735.1,201502,Glossina fuscipes,7392,Glossinidae,7147,Diptera,PRJNA172853,SAMN02742630
GCA_000671755.1,37001,Glossina brevipalpis,7392,Glossinidae,7147,Diptera,PRJNA182187,SAMN02742631
GCA_000150765.1,1518534,Anopheles coluzzii,7157,Culicidae,7147,Diptera,PRJNA20295,SAMN02953721
GCA_000648945.1,1218281,Limnephilus lunatus,50645,Limnephilidae,30263,Trichoptera,PRJNA203303,SAMN02211182
GCA_000648695.1,166361,Onthophagus taurus,7055,Scarabaeidae,7041,Coleoptera,PRJNA167478,SAMN02628949
GCA_000636095.1,168631,Chilo suppressalis,268499,Crambidae,7088,Lepidoptera,PRJNA178139,SAMN01797446
GCA_000473525.2,34690,Anopheles melas,7157,Culicidae,7147,Diptera,PRJNA163117,SAMN02953873
GCA_000473845.2,30066,Anopheles merus,7157,Culicidae,7147,Diptera,PRJNA67215,SAMN02298837
GCA_000516895.1,7004,Locusta migratoria,7002,Acrididae,6993,Orthoptera,PRJNA185471,SAMN02261463
GCA_000211455.3,43151,Anopheles darlingi,7157,Culicidae,7147,Diptera,PRJNA46227,SAMN02945024
GCA_000507165.1,1049336,Ephemera danica,50581,Ephemeridae,30073,Ephemeroptera,PRJNA171755,SAMN02264621
GCA_000500325.1,7539,Leptinotarsa decemlineata,27439,Chrysomelidae,7041,Coleoptera,PRJNA171749,SAMN02376991
GCA_000473505.1,41427,Anopheles atroparvus,7157,Culicidae,7147,Diptera,PRJNA67233,SAMN01087926
GCA_000473375.1,139723,Anopheles culicifacies,7157,Culicidae,7147,Diptera,PRJNA163119,SAMN02953871
GCA_000439205.1,185578,Anopheles nili,7157,Culicidae,7147,Diptera,PRJNA197423,SAMN02953855
GCA_000004775.1,7426,Nasonia giraulti,7423,Pteromalidae,7399,Hymenoptera,PRJNA20223,SAMN00003081
GCA_000004795.1,7427,Nasonia longicornis,7423,Pteromalidae,7399,Hymenoptera,PRJNA20225,SAMN00003080
